    0.929759025573730469E+01    0.493994712829589844E+00    0.628028512001037598E+00    0.314269542694091797E+00    0.126503698080778122E+02    0.251115874052047783E+01   -0.590690524876117706E+01    0.243483310937881470E+01   -0.194037675857543945E+00   -0.111379048905194797E+15   -0.570378062280500497E+01    1
    0.419897198677062988E+01    0.481926083564758301E+00    0.655139565467834473E+01    0.146846675872802734E+01    0.699992537498474032E+01    0.127604025602340521E+00   -0.841982747614383698E+01    0.219558113813400269E+01   -0.114047296345233917E+01   -0.111379048905194797E+15   -0.570711395613835482E+01    1
    0.197606754302978516E+02    0.113171398639678955E+01    0.552023172378540039E+01    0.315943956375122070E-01    0.979451822936534811E+01    0.406441539525985718E+00   -0.859605796933174204E+01    0.316275119781494141E+01   -0.169326806068420410E+01   -0.111379048905194797E+15   -0.571044728947168334E+01    1
    0.320446729660034180E+01    0.656411290168762207E+00    0.615769624710083008E+01    0.112961161136627197E+01    0.117292419999837882E+02   -0.195731453895568852E+01   -0.551400339603424072E+01    0.248776131868362427E+01    0.113795965909957886E+00   -0.111379048905194797E+15   -0.571378062280501098E+01    1
    0.755025982856750488E+01    0.131250619888305664E-01    0.743269383907318115E+01    0.178503561019897461E+01    0.990164593160152506E+01    0.219980153441429138E+01   -0.949353080391883886E+01    0.718055009841918945E+00   -0.159755571186542511E+01   -0.111379048905194797E+15   -0.571711395613834394E+01    1
    0.256882667541503906E+01    0.297836780548095703E+00    0.589297473430633545E+01    0.178239595890045166E+01    0.908018869161605835E+01    0.170208544731140154E+01   -0.102738426327705490E+01    0.349681121110916138E+01   -0.181745246052742004E+00   -0.111379048905194797E+15   -0.572044728947168135E+01    1
    0.408215403556823730E+01    0.561739563941955566E+00    0.634601056575775146E+01    0.125592172145843506E+01    0.128788934171199791E+02    0.145098124146461505E+01    0.678739938139914400E+00    0.331862938404083252E+01    0.228419095277786255E+00   -0.111379048905194797E+15   -0.572378062280502586E+01    1
    0.167523682117462158E+02    0.194917404651641846E+01    0.970272421836853027E+01    0.149949860572814941E+01    0.318641290068626404E+01   -0.926006281375884921E+00   -0.420918803513050133E+01    0.163727986812591553E+01   -0.116542783379554749E+01   -0.111379048905194797E+15   -0.572711395613835883E+01    1
    0.969146847724914551E+01    0.739965081214904785E+00    0.887484550476074219E+00    0.174849414825439453E+01    0.438691886961460042E+01   -0.317061602473259008E+01    0.608829385042190196E+00    0.128468990325927734E+01   -0.121133249998092651E+01   -0.111379048905194797E+15   -0.573044728947169002E+01    1
    0.989265561103820801E+01    0.138925361633300781E+01    0.107222080230712891E+01    0.799432635307312012E+00    0.112805897504091242E+02    0.755987000465393244E+00   -0.787698878049850482E+01    0.308986610174179077E+01   -0.689827650785446167E+00   -0.111379048905194797E+15   -0.573378062280501766E+01    1
