Nested Sampling Global Log-Evidence           :   -0.258952976323739131E+05  +/-    0.224443327760426942E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.258952976323739131E+05 +/-    0.224443327760426942E+00
Local Log-Evidence   -0.258952976323739131E+05 +/-    0.224443327760426942E+00

Dim No.       Mean        Sigma
   1    0.113119640613078842E+01    0.188397172392962818E-02
   2   -0.204570417972659069E+01    0.965501142437704019E+00
   3    0.921366200176302641E+01    0.334277780825874382E+01
   4    0.192629363001784393E+01    0.687804620354299123E+00
   5   -0.420106790557879961E+01    0.325004982271170206E+01
   6    0.132203655585214319E+01    0.320654519658256143E+00
   7   -0.424838236889422072E+00    0.590321091698436162E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.113029535983364582E+01
   2   -0.189267492230058743E+01
   3    0.112151858841489869E+02
   4    0.184357976946243607E+01
   5    0.127208737786339832E+01
   6    0.130331946186571090E+01
   7   -0.172695541857125434E+00

MAP Parameters
Dim No.        Parameter
   1    0.113029535983364582E+01
   2   -0.189267492230058743E+01
   3    0.112151858841489869E+02
   4    0.184357976946243607E+01
   5    0.127208737786339832E+01
   6    0.130331946186571090E+01
   7   -0.172695541857125434E+00
