Nested Sampling Global Log-Evidence           :   -0.263519094095554974E+05  +/-    0.451603499396556862E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.263519094095554974E+05 +/-    0.451603499396556862E+00
Local Log-Evidence   -0.263519094095554974E+05 +/-    0.451603499396556862E+00

Dim No.       Mean        Sigma
   1    0.295608467397295449E+01    0.219855228453138644E-01
   2    0.210943047525061697E-01    0.113757736295242735E-01
   3    0.106755480807989800E+01    0.439909746201528451E+00
   4    0.681908269729057485E-02    0.411549729194132709E-02
   5    0.150575479727298456E+00    0.658439731002474909E-01
   6   -0.795644689769707458E+01    0.110031653806171836E+01
   7    0.774900532481149451E+01    0.289874888887101312E+01
   8   -0.106606414801591520E+01    0.153097349214167222E+01
   9   -0.440851824107325729E+01    0.283320348183692161E+01
  10    0.193775918337308273E+01    0.675198564519870814E+00
  11   -0.578785671417672898E+00    0.513324762192036155E+00
  12   -0.640256932187595162E+00    0.141672070912089859E+00
  13    0.110876025858646869E+02    0.193267129458432851E+01
  14   -0.199341401735405865E+01    0.886183114609683242E+00
  15   -0.390889255738828645E+01    0.286495429991682915E+01
  16    0.589279616720110311E+00    0.425708662368278201E-01
  17   -0.595841856625109800E+00    0.498719316741717211E+00
  18   -0.819314915169206870E+01    0.782787762113011598E+00
  19    0.789352817972852527E+01    0.270842363679144027E+01
  20   -0.840998357682858910E+00    0.146065570995263272E+01
  21   -0.405892456558206760E+01    0.260312742748403059E+01
  22    0.116193971994597423E+01    0.363350999989037138E+00
  23   -0.629355409423666634E+00    0.510218316279620665E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.292810988164625030E+01
   2    0.100666781695889461E-01
   3    0.629171747847562135E+00
   4    0.845915705575001411E-02
   5    0.164901794403686242E+00
   6   -0.825143974112583045E+01
   7    0.826699183600741350E+01
   8   -0.318881217879138212E+01
   9    0.574404524907841108E+00
  10    0.216653135108574801E+01
  11   -0.105223494630633052E+01
  12   -0.347894354421260488E+00
  13    0.128136095779895989E+02
  14   -0.313907822221006416E+01
  15   -0.841599028209000011E+00
  16    0.525539180996204558E+00
  17   -0.868350082237935195E+00
  18   -0.836976993893154031E+01
  19    0.476960103247075118E+01
  20   -0.117272739123169822E+01
  21   -0.614918867847772255E+01
  22    0.131856234074664158E+01
  23    0.166537597020272932E+00

MAP Parameters
Dim No.        Parameter
   1    0.292810988164625030E+01
   2    0.100666781695889461E-01
   3    0.629171747847562135E+00
   4    0.845915705575001411E-02
   5    0.164901794403686242E+00
   6   -0.825143974112583045E+01
   7    0.826699183600741350E+01
   8   -0.318881217879138212E+01
   9    0.574404524907841108E+00
  10    0.216653135108574801E+01
  11   -0.105223494630633052E+01
  12   -0.347894354421260488E+00
  13    0.128136095779895989E+02
  14   -0.313907822221006416E+01
  15   -0.841599028209000011E+00
  16    0.525539180996204558E+00
  17   -0.868350082237935195E+00
  18   -0.836976993893154031E+01
  19    0.476960103247075118E+01
  20   -0.117272739123169822E+01
  21   -0.614918867847772255E+01
  22    0.131856234074664158E+01
  23    0.166537597020272932E+00
