Nested Sampling Global Log-Evidence           :   -0.274500034538217842E+05  +/-    0.297337979644290651E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.274500034538217842E+05 +/-    0.297337979644290651E+00
Local Log-Evidence   -0.274500034538217842E+05 +/-    0.297337979644290651E+00

Dim No.       Mean        Sigma
   1    0.126738245990711054E+02    0.722903858301380126E-01
   2    0.402186994870394263E-01    0.343325631718506691E-01
   3    0.781319648227858932E+00    0.503239769860887809E+00
   4    0.788402218288784762E+00    0.361627287274209341E-01
   5    0.700088647471747011E-01    0.609927314597437445E-01
   6    0.114612682779878616E+01    0.464706601116194162E+00
   7    0.108467624311945237E+02    0.253906377059712396E+01
   8   -0.176327772646762226E+01    0.132725595676714025E+01
   9   -0.103912511812078434E+01    0.157594269718661972E+01
  10    0.573754716341172255E+00    0.530339684008885801E-01
  11   -0.634927366675582028E+00    0.608176588745826585E+00
  12    0.308888979374520534E+00    0.308730968275760798E+00
  13    0.887715779966458562E+01    0.327826518774157583E+01
  14   -0.213024735720865932E+01    0.112869285647448270E+01
  15   -0.980802184674274491E+00    0.162526873910626835E+01
  16    0.129670533362937634E+01    0.150573389193743912E+00
  17   -0.629527967302958458E+00    0.605648049750675543E+00
  18    0.953054301905126855E+00    0.397692410228086435E+00
  19    0.101378164535233761E+02    0.281828783352650447E+01
  20   -0.247715016727993964E+01    0.976583831539763469E+00
  21   -0.997855284696260836E+00    0.159417407003095102E+01
  22    0.962889612076324730E+00    0.826375537637245028E-01
  23   -0.610069277485194350E+00    0.614515453125442090E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.127640037457713049E+02
   2    0.158274030649976374E-02
   3    0.697955957718816355E+00
   4    0.797539540580366246E+00
   5    0.216465987768978442E-01
   6    0.132534145659416347E+01
   7    0.726774136710780727E+01
   8   -0.264739485652622264E+01
   9   -0.196249373878058764E+01
  10    0.533460974716867709E+00
  11    0.352000715423077981E+00
  12    0.136920934110880244E+00
  13    0.815343938182632400E+01
  14   -0.296244880461511872E+01
  15   -0.954470199539612096E+00
  16    0.135355567931898912E+01
  17   -0.114599020577420152E+01
  18    0.100541919005708391E+01
  19    0.138989976908814121E+02
  20   -0.351285144577980457E+01
  21    0.147772016375149207E+01
  22    0.101367204403054378E+01
  23   -0.747940054570206403E-01

MAP Parameters
Dim No.        Parameter
   1    0.127640037457713049E+02
   2    0.158274030649976374E-02
   3    0.697955957718816355E+00
   4    0.797539540580366246E+00
   5    0.216465987768978442E-01
   6    0.132534145659416347E+01
   7    0.726774136710780727E+01
   8   -0.264739485652622264E+01
   9   -0.196249373878058764E+01
  10    0.533460974716867709E+00
  11    0.352000715423077981E+00
  12    0.136920934110880244E+00
  13    0.815343938182632400E+01
  14   -0.296244880461511872E+01
  15   -0.954470199539612096E+00
  16    0.135355567931898912E+01
  17   -0.114599020577420152E+01
  18    0.100541919005708391E+01
  19    0.138989976908814121E+02
  20   -0.351285144577980457E+01
  21    0.147772016375149207E+01
  22    0.101367204403054378E+01
  23   -0.747940054570206403E-01
