Nested Sampling Global Log-Evidence           :   -0.275737847004914256E+05  +/-    0.441115511372121738E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.275737847004914256E+05 +/-    0.441115511372121738E+00
Local Log-Evidence   -0.275737847004914256E+05 +/-    0.441115511372121738E+00

Dim No.       Mean        Sigma
   1    0.127803362036265753E+02    0.813682765401500252E-01
   2    0.587646961309323257E-01    0.496846973235498049E-01
   3    0.785522655164052619E+00    0.528967010763200740E+00
   4    0.825507587484911598E+00    0.379361522319970751E-01
   5    0.162696429879052668E+00    0.143580211329632640E+00
   6    0.558563001936513079E-01    0.303569842027438391E-01
   7    0.108032741786089836E+02    0.264486227443730293E+01
   8   -0.112959904914197118E+01    0.164810699579612585E+01
   9   -0.391624837786401159E+01    0.330467978981205501E+01
  10    0.569631737270493987E+00    0.563817102139897997E-01
  11   -0.635826738243990275E+00    0.638255302253568413E+00
  12    0.959644795162187128E-03    0.121366289791058064E-02
  13    0.879130963281979660E+01    0.342086015277401456E+01
  14   -0.217853220946272863E+01    0.115445985309425536E+01
  15   -0.389728918234429766E+01    0.332616807613764864E+01
  16    0.132545460992000819E+01    0.169671582967735379E+00
  17   -0.598769007854646151E+00    0.630993286136134479E+00
  18    0.467953213534466758E-04    0.209574231387954928E-04
  19    0.994077759454152421E+01    0.288200042828519720E+01
  20   -0.237819903828029577E+01    0.107570694636184316E+01
  21   -0.412732415213779724E+01    0.332719038155995328E+01
  22    0.758976363389878173E+00    0.844911260118650920E-01
  23   -0.617508779414708719E+00    0.636249471262352984E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.127973825046387653E+02
   2    0.417564129042918408E-02
   3    0.129101750183873731E+01
   4    0.808138269708731372E+00
   5    0.717063033100300284E-01
   6    0.242735407268313205E-01
   7    0.108840865380253291E+02
   8    0.128268308749440063E+01
   9   -0.380527383193631064E+01
  10    0.548173395836245470E+00
  11   -0.160416429113518677E+01
  12    0.400931571524700057E-03
  13    0.681954503444295490E+01
  14   -0.317670419578652607E+01
  15   -0.125142080216993357E+01
  16    0.142489034584336416E+01
  17   -0.967674530985275005E+00
  18    0.360637445888666887E-04
  19    0.109411255257636597E+02
  20   -0.223253456344101409E+01
  21    0.127255710406727118E+01
  22    0.818014167335589182E+00
  23   -0.151866005907744639E+01

MAP Parameters
Dim No.        Parameter
   1    0.127973825046387653E+02
   2    0.417564129042918408E-02
   3    0.129101750183873731E+01
   4    0.808138269708731372E+00
   5    0.717063033100300284E-01
   6    0.242735407268313205E-01
   7    0.108840865380253291E+02
   8    0.128268308749440063E+01
   9   -0.380527383193631064E+01
  10    0.548173395836245470E+00
  11   -0.160416429113518677E+01
  12    0.400931571524700057E-03
  13    0.681954503444295490E+01
  14   -0.317670419578652607E+01
  15   -0.125142080216993357E+01
  16    0.142489034584336416E+01
  17   -0.967674530985275005E+00
  18    0.360637445888666887E-04
  19    0.109411255257636597E+02
  20   -0.223253456344101409E+01
  21    0.127255710406727118E+01
  22    0.818014167335589182E+00
  23   -0.151866005907744639E+01
