    0.114111398660831398E+01   -0.248929819040933609E+01    0.618586884445239615E+01    0.160411570131832271E+01   -0.137816339283674338E+01    0.135398219180356549E+01    0.288375649937276268E+00   -0.625343438617444826E+04
    0.112523499849984088E+01   -0.273529342744145865E+00    0.619419779341167143E+01   -0.292502188183285128E+01   -0.713566437834568390E+01    0.779460170994663137E+00   -0.158912964964737347E+01   -0.625261502772953190E+04
    0.112400268905258205E+01    0.911878579579585846E-01    0.739052289598911205E+01    0.734935879937163250E+00   -0.967596955182854934E+01    0.664252059327261613E+00   -0.133135366942029121E+01   -0.625189910427246923E+04
    0.113685855909522981E+01   -0.279282452690608807E+00    0.135004369239367463E+02   -0.100292235591516965E+01   -0.118570722662481565E+01    0.890921257298167735E+00    0.493835997247145109E-01   -0.625157924567289774E+04
    0.113259580001693028E+01   -0.689741798907709480E+00    0.121969441252479456E+02   -0.238343921622859956E+01   -0.164387509915934338E+01    0.107724015737395118E+01   -0.161449269559568132E+01   -0.625157579062341938E+04
    0.112764986966946168E+01    0.291313060420637981E+00    0.106826984494664394E+02   -0.194222234114121717E+01   -0.222612435574698342E+01    0.598286244679611001E+00   -0.156197463295083594E+01   -0.625142901944503683E+04
    0.113836293355128682E+01   -0.397544484051897129E+00    0.137047959308479115E+02   -0.205878307901715640E+01   -0.423987161499656562E+01    0.951861382474005979E+00    0.469086761881367664E+00   -0.625127149936760452E+04
    0.113339081008944831E+01   -0.102318859354438096E+01    0.114280944371639848E+02   -0.211563552651943887E+01   -0.549908082340983473E+01    0.109531478232709301E+01   -0.140369088291814159E+01   -0.625119272899969474E+04
    0.113858245399503311E+01   -0.104178935521430382E+01    0.656337438679634300E+01   -0.494607513560990419E+00   -0.819131156823674544E+00    0.937607468560919033E+00    0.236937879667042717E+00   -0.625112903568765614E+04
    0.113104175139083107E+01    0.230956767927358086E+00    0.109112518903093125E+02   -0.285347891480772953E+01    0.126861629540995580E+01    0.767071199350784161E+00    0.162550079703763117E+00   -0.625110630471133481E+04
    0.113317220857381429E+01   -0.736705159004568344E+00    0.139212831846435527E+02   -0.375654350552232641E+01   -0.483416781200868684E+01    0.100953157452900766E+01    0.420432192278334949E+00   -0.625097709165207743E+04
    0.112613508389686068E+01   -0.140894135302745127E+01    0.125982462960640120E+02    0.138938260179448392E+01   -0.316654750880206937E+01    0.121279844607200005E+01    0.305741152125591498E+00   -0.625080553302297812E+04
    0.112058257474888645E+01   -0.728100847410408569E+01    0.113758214212744058E+02    0.233811994560041025E+01   -0.919965987992172174E+01    0.320189109348584955E+01   -0.159816211816767506E+01   -0.625065234501784107E+04
    0.113896639302690339E+01   -0.607946245676108887E+00    0.480323029311020733E+01    0.143367181706265256E+01   -0.616686890593667059E+01    0.789327795588223746E+00    0.395677261545960945E+00   -0.625060926868945899E+04
    0.112844633326230692E+01   -0.343431382977688493E+01    0.380854884496336643E+01    0.272843515744240772E+01   -0.599342692802533605E-01    0.153343683764943028E+01    0.139259830011215557E+00   -0.625059575494438377E+04
    0.113823497534906970E+01   -0.251008844941881915E+01    0.108941268553950898E+02    0.198745957929421735E+01   -0.998787720761934850E+01    0.133283203728261856E+01   -0.143083697929482501E-01   -0.625048725396813916E+04
    0.113111098197823345E+01   -0.320625599010215367E+00    0.126379552116016889E+02    0.265693496710983190E+00    0.426112195288268936E+00    0.880781669883897389E+00   -0.127875730060032700E+01   -0.625023915105121887E+04
    0.113046813080601893E+01   -0.190358367546982521E+01    0.109234892504265879E+02    0.169055742832602007E+01   -0.562050535062210077E+01    0.121347265818035144E+01    0.216495797500914300E+00   -0.625023684373007472E+04
    0.113251495803478619E+01   -0.339092466502432188E+00    0.144902244778667821E+02   -0.288114290992829059E+01   -0.289205372662166127E+01    0.851956877971275950E+00   -0.841946242189804517E+00   -0.625017220018283024E+04
    0.111357308171866798E+01   -0.472157658477334152E+00    0.116491539149381538E+02    0.170889855455889084E+01    0.257363035571392729E+00    0.781867379176223842E+00   -0.219339081037865702E+00   -0.625011581818156901E+04
