Nested Sampling Global Log-Evidence           :   -0.743399616946721289E+04  +/-    0.174399592694395672E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.743399616946721289E+04 +/-    0.174399592694395672E+00
Local Log-Evidence   -0.743399616946721289E+04 +/-    0.174399592694395672E+00

Dim No.       Mean        Sigma
   1    0.295576946445100019E+00    0.488666301078650219E-02
   2   -0.850929883185420799E+01    0.100904217605854529E+01
   3    0.894634309623271839E+01    0.354906014043294071E+01
   4   -0.280433991339372246E+00    0.158696018435423958E+01
   5   -0.439656009825288674E+01    0.317341166003273534E+01
   6    0.753272904896362228E+00    0.452669121872637525E+00
   7   -0.925200845287480034E+00    0.580095833158152718E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.295575494098730351E+00
   2   -0.797277727030204986E+01
   3    0.913723712580268277E+01
   4    0.238685086675851643E+00
   5   -0.346868303570815950E+01
   6    0.783843899842576519E+00
   7   -0.920264261098223901E+00

MAP Parameters
Dim No.        Parameter
   1    0.297980864926053635E+00
   2   -0.814459826020124034E+01
   3    0.779386353502493723E+01
   4   -0.323127743227411113E+00
   5   -0.769482927696807550E+01
   6    0.114505521189780501E+01
   7   -0.795520932669122161E+00
