Nested Sampling Global Log-Evidence           :   -0.256358430613393211E+05  +/-    0.208936577260854350E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.256358430613393211E+05 +/-    0.208936577260854350E+00
Local Log-Evidence   -0.256358430613393211E+05 +/-    0.208936577260854350E+00

Dim No.       Mean        Sigma
   1    0.112656862492251264E+01    0.182510155332545466E-02
   2   -0.896543470879242327E-01    0.633706188944718862E+00
   3    0.966549616967448877E+01    0.295337665494998580E+01
   4   -0.900801723446817859E+00    0.169607153641330632E+01
   5   -0.414838016837148249E+01    0.332767085171360177E+01
   6    0.753378798604101951E+00    0.174653638390129595E+00
   7   -0.582731182260608938E+00    0.641460448335951394E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.112669393167904897E+01
   2   -0.854858314815723830E+00
   3    0.814376324600910806E+01
   4    0.142030451163436044E+01
   5   -0.675003218676341277E+01
   6    0.905095089647055762E+00
   7   -0.142356202428387180E+01

MAP Parameters
Dim No.        Parameter
   1    0.112669393167904897E+01
   2   -0.854858314815723830E+00
   3    0.814376324600910806E+01
   4    0.142030451163436044E+01
   5   -0.675003218676341277E+01
   6    0.905095089647055762E+00
   7   -0.142356202428387180E+01
