    0.134065774374172832E+02    0.286905550993930891E+00    0.100212553900886370E+01    0.903879739794126058E+00    0.416909267047703216E-01    0.456030261606850314E-04   -0.903395676434227290E+01    0.734475739777037795E+01    0.106428651040060029E+01   -0.149545462074527569E+01    0.317101784038740409E+01   -0.196703562427019185E+01   -0.950617451143213898E+01    0.657036907052154806E+01    0.156776368040494729E+01    0.588856059508620744E+00    0.221315971848041304E+01   -0.883092242656845272E+00   -0.724506673920940347E+01    0.119513542355812810E+02    0.141344566532459703E+01    0.167560922240855037E+01   -0.303104933035204922E+05
    0.135889094006240700E+02    0.102088476181713697E+00    0.822151673312763065E+00    0.985693418642844543E+00    0.155659295069939613E+00    0.289458320478824955E-04   -0.873393940323735052E+01    0.142975112545193142E+02    0.158675472567059517E+01   -0.930765277027716831E+00    0.211143694875595411E+01   -0.141540649839154487E+00   -0.602751917438274809E+01    0.520302258949902807E+01    0.154333227478686852E+01   -0.112510155453667338E+01    0.147235017245735111E+01    0.210204282148280797E-01   -0.720986948111385395E+01    0.741314242227687714E+01    0.146738396888492262E+01    0.162619252851615204E+01   -0.303101716431777277E+05
    0.134973495966160417E+02    0.175559588873092337E+00    0.100858407635648883E+01    0.100459129790474577E+01    0.151940585129600181E+00    0.961353060367384488E-05   -0.650714916738251148E+01    0.961383005565692095E+01    0.165500887925579776E+01   -0.116998467275795326E+01    0.871162651049857351E+00   -0.472222352348886876E+00   -0.884133737638128991E+01    0.130782492292700532E+02    0.105912083589857509E+01    0.900182385057460843E+00    0.237296339636387232E+01   -0.171481176077271424E+01   -0.701394773926540793E+01    0.103928412164627879E+02    0.176602149298531086E+01    0.146398380307934994E+01   -0.303097301716918628E+05
    0.133920097276046342E+02    0.104278874554572729E+00    0.110043361825615538E+01    0.975003751873066982E+00    0.309017090270626293E+00    0.129790358743852078E-03   -0.869972955442842633E+01    0.849533273229081409E+01    0.191284372690643334E+01   -0.158526224805575899E+01    0.120296486708338390E+01   -0.365786899271078880E+00   -0.569085415280853013E+01    0.532764372948744835E+01    0.118612304695887483E+01   -0.103394667436141408E+01    0.124380451378429258E+01   -0.153693339334155166E+01   -0.723817780573254943E+01    0.964751071701518370E+01    0.118680783303445847E+01    0.158554057756685607E+01   -0.303093911495575267E+05
    0.134104463962287479E+02    0.185485337366649711E+00    0.111917667143385380E+01    0.927754225178727410E+00    0.141329585004740299E+00    0.440549951376037046E-04   -0.348852025412434408E+01    0.103486572974009086E+02    0.123690196897090043E+01   -0.755736460272767863E+00    0.120360450310661693E+01   -0.146775958127872030E+01   -0.620070844142906274E+01    0.363990084129950553E+01    0.153962439128843709E+01   -0.849416539863967257E+00    0.223222299848150696E+01   -0.975009777215201101E-01   -0.714146399019261935E+01    0.795588773120159587E+01    0.188765685581545917E+01    0.148898849859533167E+01   -0.303092078303312519E+05
    0.133427262565102271E+02    0.196711981086917564E+00    0.780947986052770160E+00    0.939725379753970635E+00    0.125956048133412851E+00    0.924363959276320907E-04   -0.931058110197189848E+01    0.231432683055701727E+01    0.149969241483862792E+01    0.167187778955541377E+00    0.173162578023107661E+01    0.379783245207971909E-01   -0.705872090982614964E+01    0.231458256776251181E+01    0.156841920100063037E+01   -0.288082222534097543E+00    0.168489011488283724E+01    0.625978268592075615E-01   -0.714257753870057144E+01    0.143501729558082012E+02    0.147347906307008869E+01    0.159146484771686225E+01   -0.303085965182033869E+05
    0.135242823379923731E+02    0.224159876811024783E+00    0.119489002096733854E+01    0.829475576553647120E+00    0.759842961228360259E-01    0.960804996036098812E-04   -0.992095090534177082E+01    0.378630381280777151E+01    0.147449838802712230E+01   -0.133016091688341498E+01    0.317308855278930046E+01   -0.134128055983503214E+01   -0.979601993683020389E+01    0.139994232139544721E+02    0.151264404641949923E+01    0.696520741641316610E+00    0.118955096834010599E+01   -0.718048972842828093E+00   -0.673009906087017651E+01    0.113293053462760476E+02    0.117176890899279607E+01    0.148158632836006099E+01   -0.303085069278511983E+05
    0.133167878507887885E+02    0.799935400061606711E-01    0.122356169177120666E+01    0.986290614290423528E+00    0.115473141743185792E+00    0.158900059174484255E-03   -0.971724344124682204E+01    0.108662782070430772E+02    0.193708415001017320E+01   -0.156986002198079944E+01    0.203297142981648848E+01   -0.151632187913701566E+01   -0.606578752285468070E+01    0.671287421844642296E+01    0.185811507428563516E+01   -0.114397658750678377E+01    0.192078533234340454E+01   -0.162019412097141502E+01   -0.753132381624380098E+01    0.728130923670003494E+01    0.174182464714323393E+01    0.168683377566781534E+01   -0.303081196163143759E+05
    0.132324838114051442E+02    0.161047520450713424E-01    0.893880714642112162E+00    0.980735886510023191E+00    0.338534565061313408E+00    0.110419135217864589E-03   -0.987788901319168211E+01    0.124088507620004123E+02    0.164781248598101460E+01   -0.834039464843527645E+00    0.275289223907651692E+01   -0.187697246682016905E+01   -0.989556103453464431E+01    0.140465258646169104E+02    0.191818722834564559E+01   -0.129088352287250241E+01    0.276101925565475970E+01   -0.643979476683518293E+00   -0.668153236901614189E+01    0.456726960681061023E+01    0.151495114118689411E+01    0.133220627865926611E+01   -0.303079169181059151E+05
    0.136790940378742487E+02    0.988305368134255180E-01    0.114123080435235247E+01    0.925886778959643664E+00    0.875798893069367965E-02    0.132360280967316023E-03   -0.693602604870299189E+01    0.904953999508582285E+01    0.105001103299388099E+01   -0.187339843758629110E+01    0.707357183425506686E+00   -0.627390185189103278E+00   -0.843603157403902770E+01    0.126303667881727151E+02    0.131171992584574615E+01    0.502586067405120351E+00    0.251577706926913658E+01   -0.427100234640858778E+00   -0.657162761943517637E+01    0.372811010045814628E+01    0.141582968590996594E+01    0.128061068911340925E+01   -0.303079133009021898E+05
