Nested Sampling Global Log-Evidence           :   -0.800771969189432093E+04  +/-    0.769331513308752823E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           4


Mode   1
Strictly Local Log-Evidence   -0.800771969189432093E+04 +/-    0.133923426489637443E+01
Local Log-Evidence   -0.800771969189432093E+04 +/-    0.769331513308752823E+00

Dim No.       Mean        Sigma
   1    0.126327746280467418E+00    0.843137543306460291E-02
   2    0.461135284717967969E-01    0.163139322464786393E-01
   3    0.149558848279541978E+01    0.118759567667129751E+00
   4    0.166194159267074870E+00    0.118058231846512891E-01
   5    0.880869867989687999E-01    0.729030894191957587E-02
   6    0.101434120680874966E-03    0.688430752761436843E-05
   7   -0.459235490955496850E+01    0.744666585186518626E-01
   8    0.774285703621483723E+01    0.129948300199207289E+01
   9   -0.167026160035138815E+01    0.249085679589147319E+00
  10   -0.534351532196341505E+01    0.396697897144296152E+00
  11    0.211743491874306677E+01    0.316176186918120036E-01
  12   -0.148162407034982263E+00    0.204959882942907234E+00
  13   -0.875086433895993387E+01    0.404274683420239755E+00
  14    0.928497803663247190E+01    0.792144131230584470E+00
  15   -0.153124937069628242E+01    0.237700456063398596E+00
  16   -0.481798855944381987E+01    0.703260957710772905E+00
  17    0.797760975944012074E+00    0.142011793419200005E+00
  18   -0.145031445653572910E+01    0.141887796479573947E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.122418265572880533E+00
   2    0.588113276584938116E-01
   3    0.137673636041591885E+01
   4    0.163639748474482566E+00
   5    0.853466834065920998E-01
   6    0.979786770968673872E-04
   7   -0.452740584034814830E+01
   8    0.879445597311138982E+01
   9   -0.148214667134078693E+01
  10   -0.535164153868653791E+01
  11    0.209856223663690455E+01
  12   -0.499310790359905887E-01
  13   -0.848196403189728265E+01
  14    0.897879398585156530E+01
  15   -0.132183558684389268E+01
  16   -0.483266929585589899E+01
  17    0.812542804962051002E+00
  18   -0.133086240164872005E+01

MAP Parameters
Dim No.        Parameter
   1    0.122418265572880533E+00
   2    0.588113276584938116E-01
   3    0.137673636041591885E+01
   4    0.163639748474482566E+00
   5    0.853466834065920998E-01
   6    0.979786770968673872E-04
   7   -0.452740584034814830E+01
   8    0.879445597311138982E+01
   9   -0.148214667134078693E+01
  10   -0.535164153868653791E+01
  11    0.209856223663690455E+01
  12   -0.499310790359905887E-01
  13   -0.848196403189728265E+01
  14    0.897879398585156530E+01
  15   -0.132183558684389268E+01
  16   -0.483266929585589899E+01
  17    0.812542804962051002E+00
  18   -0.133086240164872005E+01


Mode   2
Strictly Local Log-Evidence   -0.837355944204516891E+04 +/-    0.174562117591009969E+01
Local Log-Evidence   -0.837355944204516891E+04 +/-    0.828020827154604677E+00

Dim No.       Mean        Sigma
   1    0.263249956911839278E+00    0.272003775421092095E-01
   2    0.867968188860352291E-01    0.209982036094554132E-01
   3    0.522516339303341626E+00    0.213721134380940508E+00
   4    0.402658488625157879E-01    0.600279308336312389E-02
   5    0.274243456726047455E-01    0.163819815937619843E-01
   6    0.154407273861609267E-03    0.116282592128101040E-04
   7   -0.719736072955694794E+01    0.384567531089399284E+00
   8    0.131925957348957485E+02    0.138577628002460052E+01
   9    0.116251661544369989E+01    0.134471598174846940E+00
  10    0.521978158496266068E-01    0.750748724369761589E+00
  11    0.322168529471866716E+01    0.209206302213326617E+00
  12    0.405866075747959507E-02    0.344985254519730777E+00
  13   -0.326192300320162376E+01    0.815146489370828092E-01
  14    0.369548665960406764E+01    0.780638382804901498E+00
  15   -0.114593621469387874E+01    0.206656248476517590E+00
  16   -0.358602471954810031E+01    0.842514576513725744E+00
  17    0.916108956489664616E+00    0.806805132243869350E-01
  18    0.258501790023774547E+00    0.164271818491892707E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.260940572818540106E+00
   2    0.102016589107920941E+00
   3    0.835086343733292713E+00
   4    0.479775966154956796E-01
   5    0.175810123283016671E-01
   6    0.143725618384667078E-03
   7   -0.750464489834983262E+01
   8    0.141157965342976297E+02
   9    0.111808052218223075E+01
  10    0.405259905369231177E+00
  11    0.347280971809873940E+01
  12    0.546963491886165443E-02
  13   -0.324756750167640895E+01
  14    0.386109367200956033E+01
  15   -0.974481192170098875E+00
  16   -0.475182366282627466E+01
  17    0.100369159703236566E+01
  18    0.489517451840325801E+00

MAP Parameters
Dim No.        Parameter
   1    0.260940572818540106E+00
   2    0.102016589107920941E+00
   3    0.835086343733292713E+00
   4    0.479775966154956796E-01
   5    0.175810123283016671E-01
   6    0.143725618384667078E-03
   7   -0.750464489834983262E+01
   8    0.141157965342976297E+02
   9    0.111808052218223075E+01
  10    0.405259905369231177E+00
  11    0.347280971809873940E+01
  12    0.546963491886165443E-02
  13   -0.324756750167640895E+01
  14    0.386109367200956033E+01
  15   -0.974481192170098875E+00
  16   -0.475182366282627466E+01
  17    0.100369159703236566E+01
  18    0.489517451840325801E+00


Mode   3
Strictly Local Log-Evidence   -0.849381193839330990E+04 +/-    0.169408452471509974E+01
Local Log-Evidence   -0.849381193839330990E+04 +/-    0.757617631378677103E+00

Dim No.       Mean        Sigma
   1    0.123163406911496437E+00    0.290206321499958397E-01
   2    0.118259337243542234E+00    0.120673825185412167E-01
   3    0.594836432107525459E+00    0.688300418149659782E-01
   4    0.440196247542475189E-01    0.676158275244345078E-02
   5    0.104383258418768055E+00    0.404431583461212010E-01
   6    0.189462052088213079E-03    0.919269848355689175E-05
   7   -0.933196807336036471E+01    0.382174536567566336E+00
   8    0.719321539993346803E+01    0.111010836567324689E+01
