Nested Sampling Global Log-Evidence           :   -0.114175234327845083E+05  +/-    0.225118164988705100E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.114175234327845083E+05 +/-    0.225118164988705100E+00
Local Log-Evidence   -0.114175234327845083E+05 +/-    0.225118164988705100E+00

Dim No.       Mean        Sigma
   1   -0.159002919097972512E+00    0.944911442900646728E-02
   2   -0.178689345492353291E+01    0.415475111299025646E+00
   3    0.973677545182604476E+01    0.317128421135555305E+01
   4    0.184299976820540734E+01    0.198454395658557547E+00
   5   -0.412342993251797374E+01    0.327368077714418115E+01
   6    0.120970896619270585E+01    0.141877521043489052E+00
   7   -0.921401630875503863E+00    0.458153297531182502E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.160526521373034470E+00
   2   -0.183663203015555609E+01
   3    0.119863802140001106E+02
   4    0.183229429974634161E+01
   5   -0.172086182894578243E+01
   6    0.124050462232793546E+01
   7   -0.939989340505189119E+00

MAP Parameters
Dim No.        Parameter
   1   -0.160526521373034470E+00
   2   -0.183663203015555609E+01
   3    0.119863802140001106E+02
   4    0.183229429974634161E+01
   5   -0.172086182894578243E+01
   6    0.124050462232793546E+01
   7   -0.939989340505189119E+00
