   -0.767597975558723888E+01    0.908905692278980837E+01    0.227937669678514254E+01   -0.383516854804383112E+01    0.288047377646001923E+01   -0.336881224491114795E+00   -0.612466002082312934E+04
   -0.324843812757062445E+01    0.649460490527984557E+01    0.152623283073424965E+01   -0.105333757482704016E+01    0.117850198570893738E+01   -0.136773161625721262E+01   -0.612171029966724564E+04
   -0.496455042615763897E+01    0.923823391637841596E+01    0.237096995389689713E+01   -0.130924477771906744E+01    0.168217236050703223E+01   -0.100363388364656192E+00   -0.612070581639101783E+04
   -0.383847027233203786E+01    0.989736716523042759E+01    0.187682846029567951E+01    0.507767983422679592E+00    0.131881319301855893E+01   -0.680024621724009126E+00   -0.611925585270950705E+04
   -0.370512384238858683E+01    0.356445628981091511E+01    0.174622420883135554E+01   -0.963932038329719632E+00    0.128407249534720136E+01   -0.192156947742128770E+01   -0.611893007763942387E+04
   -0.341252571520842629E+01    0.149976500075481844E+02    0.166587743122356358E+01   -0.412484907979187643E+01    0.120765109453089559E+01   -0.112723783598501037E+01   -0.611848562608888187E+04
   -0.405217688547751820E+01    0.849113814935606470E+01    0.173961996768713689E+01   -0.390591870971508826E+00    0.149193926806508936E+01   -0.195673423843898053E+01   -0.611805394625702866E+04
   -0.410554776752467632E+01    0.482722058630717576E+01    0.188131887312087631E+01   -0.662734258633774864E+01    0.148111885796473763E+01   -0.736569043298930470E+00   -0.611791502486014178E+04
   -0.413782015430505012E+01    0.699742544704696012E+01    0.181883066129142090E+01   -0.253847751512075170E+01    0.149614885575473799E+01   -0.138518234361405623E+01   -0.611785704912742040E+04
   -0.387610647134372144E+01    0.958124243452319391E+01    0.177555891765839480E+01   -0.455941596276527594E+01    0.139491376498199937E+01   -0.100088441171148990E+01   -0.611770470634588492E+04
   -0.321220470651949164E+01    0.138048478847044258E+02    0.156424239522632114E+01   -0.203572368195612352E+01    0.116520109724645726E+01   -0.163586466146920895E+01   -0.611762846471214289E+04
   -0.327826252745503943E+01    0.870364445847626911E+01    0.163118790403870140E+01   -0.596095721736625794E+01    0.116568104960812935E+01   -0.164203633426878848E+01   -0.611761876611990829E+04
   -0.355325866589229289E+01    0.956907752744513118E+01    0.156726172468707858E+01    0.809566734147054490E+00    0.133522244732620154E+01   -0.181193247226491860E+01   -0.611750400717299817E+04
   -0.352422549075504232E+01    0.146917175256347612E+02    0.162583852720633892E+01   -0.497907419554759212E+01    0.131951048326892728E+01   -0.116341841508698440E+01   -0.611748285698681411E+04
