Nested Sampling Global Log-Evidence           :   -0.303373312800613603E+05  +/-    0.246476836160970381E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.303373312800613603E+05 +/-    0.246476836160970381E+00
Local Log-Evidence   -0.303373312800613603E+05 +/-    0.246476836160970381E+00

Dim No.       Mean        Sigma
   1    0.133985002682854848E+02    0.773669939774103005E-01
   2    0.622428735507184819E-01    0.459765199920932552E-01
   3    0.106158397389860548E+01    0.794180672119259162E-01
   4    0.974197487380568217E+00    0.310486282231507565E-01
   5    0.498417474620619083E-01    0.456171450218633145E-01
   6    0.214287352444851288E-03    0.232101737320867643E-04
   7   -0.735339587019632202E+01    0.187590036209575550E+01
   8    0.866586038951000148E+01    0.369134671042009943E+01
   9   -0.592486185067932936E+00    0.141826646331734030E+01
  10   -0.504924437670045800E+00    0.831488427697655741E+00
  11    0.170896234178602935E+01    0.726046056193159650E+00
  12   -0.733106585788842913E+00    0.711058760699062486E+00
  13   -0.303704905122687396E+01    0.259900611317258390E+00
  14    0.984943382475580975E+01    0.302988003757559676E+01
  15   -0.110283381402215874E+01    0.112423984745666172E+01
  16   -0.490852684900647041E+00    0.831391545414028599E+00
  17    0.136203846643214277E+01    0.842151036174557110E-01
  18   -0.765285966666485074E+00    0.713279449378907193E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.134322945169692716E+02
   2    0.464413089405027527E-01
   3    0.103872954413456609E+01
   4    0.978112999462910415E+00
   5    0.110320216448246359E-01
   6    0.224195919508096486E-03
   7   -0.921692334864144946E+01
   8    0.143263467867283900E+02
   9    0.421788773924020699E+00
  10   -0.967577529993070229E+00
  11    0.303162475980890189E+01
  12    0.130728283245605148E+00
  13   -0.296538152111947007E+01
  14    0.114981795659482415E+02
  15   -0.170572469969963580E+01
  16    0.215089158712458373E+00
  17    0.138579454640102995E+01
  18   -0.158394309154831170E+01

MAP Parameters
Dim No.        Parameter
   1    0.134322945169692716E+02
   2    0.464413089405027527E-01
   3    0.103872954413456609E+01
   4    0.978112999462910415E+00
   5    0.110320216448246359E-01
   6    0.224195919508096486E-03
   7   -0.921692334864144946E+01
   8    0.143263467867283900E+02
   9    0.421788773924020699E+00
  10   -0.967577529993070229E+00
  11    0.303162475980890189E+01
  12    0.130728283245605148E+00
  13   -0.296538152111947007E+01
  14    0.114981795659482415E+02
  15   -0.170572469969963580E+01
  16    0.215089158712458373E+00
  17    0.138579454640102995E+01
  18   -0.158394309154831170E+01
