Nested Sampling Global Log-Evidence           :   -0.272921745678701118E+05  +/-    0.239725913808580243E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.272921745678701118E+05 +/-    0.239725913808580243E+00
Local Log-Evidence   -0.272921745678701118E+05 +/-    0.239725913808580243E+00

Dim No.       Mean        Sigma
   1    0.132831573694065472E+02    0.931659034749425102E-01
   2    0.653425901216925509E-01    0.493438539973956522E-01
   3    0.103363053560032658E+01    0.559326223440557602E+00
   4    0.962286286190451534E+00    0.335161039369233291E-01
   5    0.657963430330673615E-01    0.589688204101403851E-01
   6    0.452904822889017465E-03    0.318192240717055073E-04
   7   -0.743178388416687863E+01    0.176217441223071680E+01
   8    0.868212901967558537E+01    0.364843698627208424E+01
   9   -0.573758483236528671E+00    0.137852677055005612E+01
  10   -0.477194067643297581E+00    0.817229749626958046E+00
  11    0.175189826723720365E+01    0.717423027524578982E+00
  12   -0.749200206195262730E+00    0.704034024803716685E+00
  13   -0.256265990069884486E+01    0.245976756214507097E+00
  14    0.833928483194616810E+01    0.300785611040911061E+01
  15   -0.119371341746353465E+01    0.108134384927651017E+01
  16   -0.502361800169347172E+00    0.819540873833417116E+00
  17    0.124062136934993550E+01    0.896811905279795846E-01
  18   -0.732227400087681612E+00    0.700124551285876695E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.133354321477025977E+02
   2    0.149411732490289367E-01
   3    0.882323551377390380E+00
   4    0.983256075258035267E+00
   5    0.609683233977475255E-02
   6    0.438636021503116622E-03
   7   -0.709964887651486531E+01
   8    0.751516395370531054E+01
   9   -0.196560794804613703E+01
  10    0.926216330917106090E+00
  11    0.133268759203477183E+01
  12   -0.185713034280461731E+01
  13   -0.233692372893765388E+01
  14    0.460282538665424390E+01
  15   -0.135530471759980475E+01
  16   -0.122167163595474038E+01
  17    0.111132408028465490E+01
  18   -0.918909415746556046E-01

MAP Parameters
Dim No.        Parameter
   1    0.133354321477025977E+02
   2    0.149411732490289367E-01
   3    0.882323551377390380E+00
   4    0.983256075258035267E+00
   5    0.609683233977475255E-02
   6    0.438636021503116622E-03
   7   -0.709964887651486531E+01
   8    0.751516395370531054E+01
   9   -0.196560794804613703E+01
  10    0.926216330917106090E+00
  11    0.133268759203477183E+01
  12   -0.185713034280461731E+01
  13   -0.233692372893765388E+01
  14    0.460282538665424390E+01
  15   -0.135530471759980475E+01
  16   -0.122167163595474038E+01
  17    0.111132408028465490E+01
  18   -0.918909415746556046E-01
