

    0.255926793386584326E-05    0.193109520083078496E+05    0.123761296417436412E+00    0.684062083249045161E-01    0.464985955705891962E+00    0.189326770095351760E+00    0.335302189359521052E+00    0.116380474415301796E-03   -0.748753045140043927E+01    0.402028956975835960E+01   -0.132707413740162927E+00   -0.821453523656199991E+01    0.206639637998343551E+01   -0.524350213000468690E+00
    0.302745200557800733E-05    0.193105619540753250E+05    0.123654109634477843E+00    0.686614678268159112E-01    0.469965305349977380E+00    0.184778112596691690E+00    0.334294728446496658E+00    0.121683884423212597E-03   -0.747658915499918919E+01    0.398152923422599425E+01   -0.127231313236843224E+00   -0.822253951194539567E+01    0.203547577759670517E+01   -0.521343209412386210E+00
    0.322090443461141902E-05    0.193103840183074026E+05    0.122299458141482215E+00    0.700875992979771434E-01    0.442116969218767364E+00    0.184552000010637068E+00    0.335558747956468617E+00    0.121435372644340466E-03   -0.745041352419124436E+01    0.399392425701592657E+01   -0.174341830957697397E+00   -0.823164950307358723E+01    0.201357369239488548E+01   -0.522953031994013884E+00
    0.461625875839463505E-05    0.193096101194852527E+05    0.121939016360464447E+00    0.697824478190829933E-01    0.439174209708364738E+00    0.186911542910421280E+00    0.334606924409983963E+00    0.121267241048992781E-03   -0.745789903552319000E+01    0.395574041379035846E+01   -0.159508869998635117E+00   -0.822120860786989560E+01    0.200682672717365396E+01   -0.521938521816396772E+00
    0.510053672376362734E-05    0.193093565430518647E+05    0.124872908527703330E+00    0.696051617621552959E-01    0.478732912939760280E+00    0.182692128460681558E+00    0.334749947682812687E+00    0.121466633595288288E-03   -0.746202835259870856E+01    0.397871968925739861E+01   -0.132541317514117907E+00   -0.819241006542396732E+01    0.202180315205346517E+01   -0.521276203040268893E+00
    0.503591119974277590E-05    0.193093279915802341E+05    0.122252465595372575E+00    0.700867097759635266E-01    0.422216802775251088E+00    0.185142105078369701E+00    0.335168644783811642E+00    0.122362489539762668E-03   -0.744287151826709170E+01    0.397455507297569222E+01   -0.185508301047292878E+00   -0.824749859506254168E+01    0.199016961016500504E+01   -0.520811672887239618E+00
    0.512822411572161765E-05    0.193092376076460932E+05    0.121421091346042828E+00    0.698566451846156372E-01    0.439379159205190328E+00    0.185615682296284890E+00    0.334543692247962154E+00    0.122952311068089647E-03   -0.745482873414716085E+01    0.394861135163694321E+01   -0.168012112507831546E+00   -0.823148530734724382E+01    0.199938166290525787E+01   -0.521552158856103176E+00
    0.777526095220690784E-05    0.193083511783970207E+05    0.119673814233698439E+00    0.706352803580962418E-01    0.411540657018805101E+00    0.185285332239870093E+00    0.334906341195500556E+00    0.124017129605327069E-03   -0.743988917458481946E+01    0.396400934234880165E+01   -0.195829106656256524E+00   -0.824964930254271778E+01    0.198490304863856615E+01   -0.522956931313672602E+00
    0.844098721280544441E-05    0.193081328198437222E+05    0.123103473581495093E+00    0.693082563865275031E-01    0.462253705644790402E+00    0.185734664699217067E+00    0.334432468813151584E+00    0.121005029869334542E-03   -0.746839844142056108E+01    0.398635417783599877E+01   -0.141055528239923067E+00   -0.821466833404333485E+01    0.202548199170674970E+01   -0.522032276412936813E+00
    0.969268076472349114E-05    0.193078022222491927E+05    0.124204129228763296E+00    0.694844181250716536E-01    0.475600600539628493E+00    0.182814239860665251E+00    0.334888817951278839E+00    0.121877073325741406E-03   -0.746093349487460777E+01    0.397474147790201560E+01   -0.139872339312099303E+00   -0.819654138497123519E+01    0.202026581318274268E+01   -0.520862583416662028E+00
